geoid,name,B05002001,"B05002001, Error",B05002002,"B05002002, Error",B05002003,"B05002003, Error",B05002004,"B05002004, Error",B05002005,"B05002005, Error",B05002006,"B05002006, Error",B05002007,"B05002007, Error",B05002008,"B05002008, Error",B05002009,"B05002009, Error",B05002010,"B05002010, Error",B05002011,"B05002011, Error",B05002012,"B05002012, Error",B05002013,"B05002013, Error",B05002014,"B05002014, Error",B05002015,"B05002015, Error",B05002016,"B05002016, Error",B05002017,"B05002017, Error",B05002018,"B05002018, Error",B05002019,"B05002019, Error",B05002020,"B05002020, Error",B05002021,"B05002021, Error",B05002022,"B05002022, Error",B05002023,"B05002023, Error",B05002024,"B05002024, Error",B05002025,"B05002025, Error",B05002026,"B05002026, Error",B05002027,"B05002027, Error"
16000US0639598,"Lakeland Village, CA",13170,1070,10344,808,8186,787,2041,331,622,261,717,187,331,108,371,128,117,70,0,19,0,19,117,70,2826,521,864,228,65,52,94,80,12,18,0,19,693,207,0,19,1962,510,41,53,178,225,0,19,0,19,1720,494,23,28
16000US0639612,"Lake Los Angeles, CA",11469,712,9978,703,8742,701,1156,244,171,70,504,133,294,111,187,122,80,59,8,17,0,19,72,55,1491,277,880,184,46,35,76,65,0,19,0,19,737,175,21,26,611,175,14,21,8,13,0,19,10,16,579,172,0,19
16000US0639645,"Lake Mathews, CA",6848,1013,5676,763,4069,819,1527,373,348,160,593,212,174,79,412,228,80,63,6,10,6,10,68,60,1172,394,432,200,11,16,140,105,16,25,0,17,265,148,0,17,740,332,28,26,22,25,0,17,0,17,690,332,0,17
16000US0639670,"Lake Nacimiento, CA",2884,343,2840,339,2179,324,608,123,97,52,204,101,129,65,178,85,53,39,0,12,0,12,53,39,44,40,4,8,4,8,0,12,0,12,0,12,0,12,0,12,40,39,11,18,19,28,0,12,0,12,0,12,10,16
16000US0639690,"Lake of the Pines, CA",4137,469,4046,465,2584,412,1462,283,242,122,605,237,275,115,340,166,0,12,0,12,0,12,0,12,91,80,62,64,24,39,0,12,0,12,0,12,38,47,0,12,29,45,0,12,29,45,0,12,0,12,0,12,0,12
16000US0639696,"Lake of the Woods, CA",768,207,701,214,514,196,185,104,10,16,92,100,73,57,10,16,2,13,0,12,0,12,2,13,67,48,64,46,36,37,28,35,0,12,0,12,0,12,0,12,3,11,0,12,3,11,0,12,0,12,0,12,0,12
16000US0639710,"Lakeport, CA",4855,33,4137,282,3029,307,1068,234,241,108,274,106,241,106,312,151,40,44,0,12,0,12,40,44,718,274,336,144,38,46,171,122,0,12,0,12,127,102,0,12,382,259,15,28,62,55,0,12,0,12,305,273,0,12
16000US0639715,"Lake Riverside, CA",1049,363,1038,361,543,240,495,213,61,53,236,185,81,59,117,81,0,12,0,12,0,12,0,12,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,18,0,12,0,12,0,12,0,12,11,18,0,12
16000US0639724,"Lake San Marcos, CA",4890,796,4015,746,2140,641,1855,361,470,179,804,280,286,117,295,151,20,32,0,12,0,12,20,32,875,285,760,248,230,149,180,146,0,12,0,12,324,158,26,43,115,71,0,12,87,70,0,12,0,12,28,25,0,12
16000US0639735,"Lake Sherwood, CA",1835,282,1597,263,990,202,580,184,173,68,293,143,45,59,69,71,27,27,0,12,0,12,27,27,238,112,187,76,89,48,39,27,0,12,6,9,31,42,22,17,51,49,11,17,0,12,0,12,8,13,32,45,0,12
16000US0639766,"Lakeside, CA",22560,1098,20896,1109,14809,1072,5805,561,959,214,2065,303,1502,307,1279,287,282,120,0,23,80,50,202,111,1664,322,787,176,131,88,335,118,0,23,29,49,280,111,12,15,877,285,20,24,63,41,10,17,0,23,754,284,30,28
16000US0639836,"Lakeview, CA",2566,460,1720,307,1509,293,176,67,19,21,73,44,55,47,29,21,35,36,21,31,0,12,14,17,846,330,199,94,1,2,1,2,0,12,0,12,197,94,0,12,647,283,1,2,0,12,0,12,0,12,646,283,0,12
16000US0639885,"Lake Wildwood, CA",5208,421,5016,412,2886,448,2015,328,433,183,685,177,270,122,627,215,115,89,16,32,0,17,99,81,192,112,167,98,40,38,62,63,12,19,0,17,14,27,39,38,25,40,0,17,24,40,0,17,0,17,1,2,0,17
16000US0639892,"Lakewood, CA",80771,89,63227,1031,50888,1042,11086,598,1843,261,3484,382,3593,407,2166,266,1253,218,88,69,202,102,963,187,17544,1031,12008,760,407,111,7185,607,393,171,108,127,3708,432,207,95,5536,611,190,87,2490,402,29,51,50,47,2675,411,102,59
16000US0640004,"La Mesa, CA",59562,37,50450,842,32902,1204,16518,1124,4205,558,4950,522,3873,523,3490,580,1030,219,84,63,148,103,798,177,9112,844,5063,555,1199,365,1735,333,184,103,15,23,1865,402,65,45,4049,731,599,269,1200,392,107,100,5,9,2043,488,95,66
16000US0640032,"La Mirada, CA",48974,58,37161,666,30375,729,6257,498,1356,275,2019,311,1470,183,1412,207,529,144,35,32,19,22,475,139,11813,661,8978,489,213,84,5171,392,122,101,44,46,3393,332,35,32,2835,420,136,70,1281,299,14,22,9,12,1351,291,44,44
16000US0640088,"Lamont, CA",15222,766,8914,689,8374,672,464,151,55,53,13,15,288,127,108,72,76,52,26,31,5,10,45,43,6308,700,919,204,0,19,31,36,0,19,0,19,888,204,0,19,5389,705,0,19,0,19,0,19,0,19,5389,705,0,19
16000US0640116,"Lanare, CA",234,208,200,200,193,198,7,12,0,12,7,12,0,12,0,12,0,12,0,12,0,12,0,12,34,32,17,27,0,12,0,12,0,12,0,12,17,27,0,12,17,22,0,12,0,12,0,12,0,12,17,22,0,12
16000US0640130,"Lancaster, CA",159662,82,142510,1056,119669,1453,21328,997,3087,338,6805,640,7992,724,3444,324,1513,327,126,76,82,41,1305,299,17152,1040,10185,740,526,122,3291,388,364,245,6,11,5874,549,124,75,6967,661,257,97,1570,320,445,220,17,16,4581,602,97,83
16000US0640256,"La Palma, CA",15733,42,10209,508,8034,449,1798,237,442,129,650,138,400,135,306,122,377,148,30,34,26,41,321,145,5524,503,4001,388,80,60,3342,392,108,107,0,19,442,153,29,25,1523,366,81,82,1197,321,0,19,19,31,226,193,0,19
16000US0640312,"La Porte, CA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0640326,"La Presa, CA",37437,1334,28055,1408,20437,1260,6663,683,1015,230,1973,349,2249,384,1426,252,955,212,114,90,73,53,768,211,9382,827,5766,565,178,99,2157,317,57,44,0,26,3335,405,39,33,3616,576,51,34,987,311,25,30,0,26,2511,462,42,28
16000US0640340,"La Puente, CA",40268,67,23843,853,21864,806,1552,262,160,70,321,125,550,138,521,163,427,154,15,17,0,26,412,150,16425,853,7931,675,98,81,2070,306,0,26,11,17,5746,579,6,10,8494,706,7,11,1248,272,5,12,25,36,7209,631,0,26
16000US0640354,"La Quinta, CA",40704,48,34532,609,21527,819,12646,708,2582,370,4982,570,2142,342,2940,407,359,137,15,23,0,26,344,138,6172,615,3391,431,735,231,630,187,77,60,31,39,1620,274,298,107,2781,595,231,158,346,150,89,141,51,47,1421,396,643,334
16000US0640410,"La Riviera, CA",10851,515,9674,496,7506,499,2076,225,271,86,605,143,597,134,603,146,92,51,0,19,0,19,92,51,1177,322,704,175,158,93,188,69,23,33,92,76,243,121,0,19,473,205,13,18,218,108,57,127,18,25,131,86,36,54
16000US0640426,"Larkfield-Wikiup, CA",8926,816,7774,710,5819,670,1805,327,423,148,431,106,486,159,465,187,150,92,0,17,0,17,150,92,1152,400,760,285,94,94,167,103,34,32,0,17,455,242,10,17,392,167,33,36,99,66,0,17,0,17,237,135,23,27
16000US0640438,"Larkspur, CA",12375,60,10164,300,5682,387,4241,375,1748,294,1167,231,815,191,511,147,241,119,0,19,0,19,241,119,2211,303,1255,217,457,122,407,126,53,49,0,19,320,138,18,20,956,242,259,125,149,81,72,85,127,110,324,139,25,20
